city,rooms,total_price,link,condition,heating,township,place,street
Novi Sad,2.0,350,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/novi-sad-centar/624ee6f1879cb963a34c0e73,prazno,centralno,Gradske lokacije,Stari Grad,Novi Sad - Centar
Novi Sad,3.0,800,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/stevana-branovackog/62470a0d3ced9916c470a028,prazno,centralno,Gradske lokacije,Novi Sad - Centar,Stevana Branovačkog
Novi Sad,3.0,800,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/gogoljeva/625585ad852a6225bd749933,namešteno,na gas,Gradske lokacije,Grbavica,Gogoljeva
Novi Sad,1.5,500,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/novi-sad-centar/6256d7a42cd5e7097c29d973,namešteno,centralno,Gradske lokacije,Stari Grad,Novi Sad - Centar
Novi Sad,1.5,350,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/bulevar-kralja-petra-i/62545100cbcff22a41065bc3,namešteno,centralno,Gradske lokacije,Bulevar Oslobođenja,Bulevar Kralja Petra I
Beograd,3.0,1100,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/knjeginje-zorke/623ee07c5ee0801a3372f186,namešteno,centralno,Vračar,Hram Svetog Save,Knjeginje Zorke
Niš,1.0,200,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/centar/622b907e1b5ba44c055c5ad3,prazno,centralno,Gradske lokacije,Medijana,Centar
Beograd,3.5,1300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/strahinjica-bana/623f5d487f5d2c59e443e683,polunamešteno,centralno,Stari Grad opština,Gornji Dorćol,Strahinjića Bana
Beograd,3.5,500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/vlajkoviceva/6250568455cce9056a226b53,polunamešteno,etažno,Stari Grad opština,Politika,Vlajkovićeva
Novi Sad,1.5,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/cirpanova/6257eb9b1617b466b0733746,namešteno,centralno,Gradske lokacije,Bulevar Oslobođenja,Ćirpanova
Niš,2.0,250,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/bulevar-nemanjica/6225d0249da55f352a562e07,namešteno,centralno,Gradske lokacije,Bulevar Zona 3,Bulevar Nemanjića
Beograd,2.0,850,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/dunavska/62543f41aeb5a5761125d928,namešteno,centralno,Stari Grad opština,Donji Dorćol,Dunavska
Beograd,2.0,800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/624c705f1c6a6754621da6da,polunamešteno,centralno,Savski Venac,Beograd na vodi,Hercegovačka
Beograd,2.0,800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/kneza-mihaila/624c2a0c857f3d25fa58bd9c,namešteno,centralno,Stari Grad opština,Beograd centar,Kneza Mihaila
Beograd,2.0,700,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/tosin-bunar/62336852a4800f1295495385,polunamešteno,centralno,Novi Beograd,Blok 60,Tošin Bunar
Beograd,4.0,700,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/svetozara-markovica/6232dc6ec8538762cc2fc994,prazno,centralno,Vračar,Krunska,Svetozara Markovića
Beograd,5.0,1300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/jovana-rajica/624f0178a2518321984f42f4,namešteno,centralno,Vračar,Crveni Krst Vračar,Jovana Rajića
Beograd,3.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/brace-jugovica/61fb871d1ca9925cc17a70d5,namešteno,centralno,Stari Grad opština,Gornji Dorćol,Braće Jugovića
Beograd,5.0,1220,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/vidovdanska/61d3f75957f0b34d947503e1,namešteno,centralno,Vračar,Crveni Krst Vračar,Vidovdanska
