city,rooms,square,price,link,township,title
Beograd,3,109.0,2100,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-u-bw--30--terraces/Nk4-OYpB4hu/,Beograd na vodi,Izdavanje luksuznih stanova u BW / 3.0 / TERRACES
Beograd,4,105.0,950,https://www.nekretnine.rs/stambeni-objekti/stanovi/lux-40--garaza-bogoljuba-cukica/NkAdmPzI5VY/,Banovo brdo,Lux 4.0 / garaza - BOGOLJUBA CUKICA
Beograd,4,121.0,1850,https://www.nekretnine.rs/stambeni-objekti/stanovi/bw-arcadia-lux-3-spavace-sobe-3-garaze-id13817/Nk1rT4g55Bx/,Beograd na vodi,"BW-Arcadia,lux,3 spavaće sobe,3 garaže ID#13817"
Beograd,4,115.0,500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdaje-se-veliki-4-soban-stan-u-prizemlju-id11792/Nkq7Fy1gVTe/,Bežanijska kosa II,"Izdaje se veliki,4-soban stan,u prizemlju ID#11792"
Beograd,4,80.0,1000,https://www.nekretnine.rs/stambeni-objekti/stanovi/kalenic-pijaca-milesevska-lux-useljiv-id14039/Nk_myWIdQqO/,Kalenić pijaca,"Kalenić pijaca,Mileševska,lux,useljiv ID#14039"
Beograd,1,34.0,300,https://www.nekretnine.rs/stambeni-objekti/stanovi/aviv-zivka-davidovica-novogradnja-useljiv-id14038/NkenabmfDEA/,Zeleno Brdo,"Aviv,Živka Davidovića,novogradnja,useljiv ID#14038"
Beograd,1,36.0,350,https://www.nekretnine.rs/stambeni-objekti/stanovi/retenzija-aleksandra-dubceka-jednosoban-id814042/NkGck7Xt0zI/,Novi Beograd Blok 11c (Stari Merkator),"Retenzija,Aleksandra Dubčeka,jednosoban ID#814042"
Beograd,1,36.0,350,https://www.nekretnine.rs/stambeni-objekti/stanovi/retenzija-aleksandra-dubceka-jednosoban-id14042/NkC98QU6YhS/,Retenzija,"Retenzija,Aleksandra Dubčeka,jednosoban ID#14042"
Beograd,3,105.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/bw-terraces-30-namesten-bazen-teretana/NkNTFya8OZ7/,Beograd na vodi,"BW TERRACES - 3.0 namešten, bazen, teretana"
Beograd,5,250.0,2750,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzan-prostor-od-250m2-u-gavrila-principa/NkBmCufukTD/,Centar (uži),Luksuzan prostor od 250m2 u Gavrila Principa
Beograd,2,45.0,500,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-njegoseva-15-namesten-id-4410/NkukdJGEtQb/,Vračar (Centar),"Vračar, Njegoševa, 1.5 namešten, id 4410"
Beograd,3,70.0,690,https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-sumatovacka-30-novogradnja-id-4431/NkQjzN0Nnud/,Crveni krst,"Vračar, Šumatovačka , 3.0 novogradnja, id 4431"
Beograd,4,105.0,950,https://www.nekretnine.rs/stambeni-objekti/stanovi/banovo-brdo-lux-35-novogradnja-garaza-id-4434/NkUVvLOAwtJ/,Banovo brdo,"Banovo brdo, lux 3.5 novogradnja, garaža, id 4434"
Beograd,2,53.0,200,https://www.nekretnine.rs/stambeni-objekti/stanovi/vozdovac-15-kod-stepe-id-4436/NkKq5ftNseq/,Voždovac,"Voždovac, 1.5 kod Stepe, id 4436"
Beograd,2,58.0,1350,https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-arkadia-lux-20-nov-id-4438/NkDlki0Vuj0/,Beograd na vodi,"Beograd na vodi, Arkadia, lux 2.0 nov, id 4438"
Beograd,4,120.0,950,https://www.nekretnine.rs/stambeni-objekti/stanovi/zvezdara-bulbulder-40-novogradnja-parking-id-4439/NkDvPKyUUcN/,Bulbuder,"Zvezdara, Bulbulder, 4.0 novogradnja, parking, id 4439"
